facility_name,facility_category,facility_use_code,road_address,jibun_address,longitude,latitude,data_reference_date
돌샘어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로48길 40,서울특별시 강서구 방화동 837,126.81893,37.576084,2022-12-07 00:00:00.0
꿈나무어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 방화대로48길 40,서울특별시 강서구 방화동 840,126.81894,37.57511,2022-12-07 00:00:00.0
은하수어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 양천로6길 28,서울특별시 강서구 방화동 853,126.8065,37.570515,2022-12-07 00:00:00.0
수명어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로15길 18,서울특별시 강서구 화곡동 1044-31,126.83444,37.54084,2022-12-07 00:00:00.0
노을공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로26길 35-7,서울특별시 강서구 화곡동 105-194,126.843956,37.539864,2022-12-07 00:00:00.0
다운어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 곰달래로19나길 43-30,서울특별시 강서구 화곡동 346-26,126.84467,37.53208,2022-12-07 00:00:00.0
필마공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 곰달래로15가길 34-14,서울특별시 강서구 화곡동 355-12,126.83881,37.5315,2022-12-07 00:00:00.0
버들어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 곰달래로17길 24,서울특별시 강서구 화곡동 424-45,126.84125,37.53111,2022-12-07 00:00:00.0
큰별공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 까치산로14길 33-8,서울특별시 강서구 화곡동 46-41,126.84895,37.544487,2022-12-07 00:00:00.0
산새공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 까치산로18길 44-12,서울특별시 강서구 화곡동 772,126.85042,37.54628,2022-12-07 00:00:00.0
곰돌이어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로7길 52-12,서울특별시 강서구 화곡동 900-46,126.84502,37.529568,2022-12-07 00:00:00.0
효심어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 월정로20길 38,서울특별시 강서구 화곡동 922-10,126.84069,37.529526,2022-12-07 00:00:00.0
볏골어린이공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡동 98-99,126.84439,37.541477,2022-12-07 00:00:00.0
연지공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 공항대로46길 14-2,서울특별시 강서구 화곡동 1109,126.85328,37.5547,2022-12-07 00:00:00.0
배다리공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로12길 29-8,서울특별시 강서구 화곡동 341-24,126.84832,37.532112,2022-12-07 00:00:00.0
까치공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 강서로17다길 23-9,서울특별시 강서구 화곡동 354-14,126.84191,37.533432,2022-12-07 00:00:00.0
은행공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 가로공원로82길 41-15,서울특별시 강서구 화곡동 369-11,126.84054,37.535816,2022-12-07 00:00:00.0
월정공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 가로공원로74길 33,서울특별시 강서구 화곡동 372-26,126.836006,37.535183,2022-12-07 00:00:00.0
개나리공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로43가길 44,서울특별시 강서구 화곡동 75-3,126.8441,37.548393,2022-12-07 00:00:00.0
달빛공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 등촌로3가길 7,서울특별시 강서구 화곡동 783-1,126.862946,37.531197,2022-12-07 00:00:00.0
모태공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 곰달래로26길 21,서울특별시 강서구 화곡동 892-17,126.84953,37.5295,2022-12-07 00:00:00.0
역말공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로44가길 52-6,서울특별시 강서구 화곡동 978-18,126.8488,37.549675,2022-12-07 00:00:00.0
새말공원,공원·오픈스페이스,FU_BI,서울특별시 강서구 화곡로53길 56-10,서울특별시 강서구 화곡동 994-5,126.846375,37.55194,2022-12-07 00:00:00.0
무척바른한방병원,의료,FU_BD,서울특별시 강서구 공항대로 228,서울특별시 강서구 마곡동 800-5,126.83271,37.558575,2022-12-07 00:00:00.0
이화여자대학교의과대학부속서울병원,의료,FU_BD,서울특별시 강서구 공항대로 260,서울특별시 강서구 마곡동 808,126.83613,37.557346,2022-12-07 00:00:00.0
로고스치과병원,의료,FU_BD,서울특별시 강서구 공항대로 281,서울특별시 강서구 등촌동 673-1,126.83885,37.558834,2022-12-07 00:00:00.0
강서송도병원,의료,FU_BD,서울특별시 강서구 공항대로 315,서울특별시 강서구 등촌동 669-1,126.84283,37.55851,2022-12-07 00:00:00.0
부민병원,의료,FU_BD,서울특별시 강서구 공항대로 389,서울특별시 강서구 등촌동 657,126.851,37.55683,2022-12-07 00:00:00.0
경희생생한방병원,의료,FU_BD,서울특별시 강서구 공항대로41길 34,서울특별시 강서구 등촌동 700,126.84573,37.5593,2022-12-07 00:00:00.0
새미래요양병원,의료,FU_BD,서울특별시 강서구 국회대로 233,서울특별시 강서구 화곡동 786-6,126.86087,37.52974,2022-12-07 00:00:00.0
실로암안과병원,의료,FU_BD,서울특별시 강서구 등촌로 181,서울특별시 강서구 등촌동 512-5,126.862206,37.546024,2022-12-07 00:00:00.0
보금한방병원,의료,FU_BD,서울특별시 강서구 마곡중앙4로 22,서울특별시 강서구 마곡동 799-20,126.82925,37.558117,2022-12-07 00:00:00.0
마곡나루근린공원,공원·오픈스페이스,FU_BI,,서울특별시 강서구 마곡동 743-3,126.82217,37.566303,2022-12-07 00:00:00.0
영빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 177,서울특별시 강서구 화곡동 1051-26,126.83951,37.542175,2022-12-07 00:00:00.0
서울제일신경외과,기타시설,FU_BA,서울특별시 강서구 강서로 178,서울특별시 강서구 화곡동 1052-9,126.83997,37.542526,2022-12-07 00:00:00.0
대사빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 183,서울특별시 강서구 화곡동 1051-13,126.83889,37.542473,2022-12-07 00:00:00.0
서울안심내과의원,의료,FU_BE,서울특별시 강서구 강서로 193,서울특별시 강서구 화곡동 1032-18,126.83834,37.543365,2022-12-07 00:00:00.0
세종빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 205,서울특별시 강서구 화곡동 1032-27,126.83763,37.544136,2022-12-07 00:00:00.0
고려정형외과의원,의료,FU_BE,서울특별시 강서구 강서로 219,서울특별시 강서구 화곡동 1024-25,126.83662,37.54524,2022-12-07 00:00:00.0
세란빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 251,서울특별시 강서구 내발산동 723-9,126.83605,37.548115,2022-12-07 00:00:00.0
고려빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 261,서울특별시 강서구 내발산동 723,126.83601,37.549232,2022-12-07 00:00:00.0
세민빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 380,서울특별시 강서구 등촌동 674,126.83887,37.55947,2022-12-07 00:00:00.0
동진빌딩,기타시설,FU_BA,서울특별시 강서구 강서로13길 3,서울특별시 강서구 화곡동 343-1,126.8461,37.532314,2022-12-07 00:00:00.0
로뎀타워,기타시설,FU_BA,서울특별시 강서구 공항대로 186,서울특별시 강서구 마곡동 799-1,126.82801,37.559082,2022-12-07 00:00:00.0
스카이빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 111,서울특별시 강서구 화곡동 1068-32,126.83422,37.54021,2022-12-07 00:00:00.0
광유빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 153,서울특별시 강서구 화곡동 1065-8,126.838776,37.54148,2022-12-07 00:00:00.0
KBH타워,기타시설,FU_BA,서울특별시 강서구 화곡로25길 2,서울특별시 강서구 화곡동 1065-1,126.83851,37.541363,2022-12-07 00:00:00.0
Roi빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 157,서울특별시 강서구 화곡동 1065-9,126.83913,37.541565,2022-12-07 00:00:00.0
상광빌딩,기타시설,FU_BA,서울특별시 강서구 강서로 210,서울특별시 강서구 화곡동 1026-5,126.837685,37.544796,2022-12-07 00:00:00.0
화곡빌딩,기타시설,FU_BA,서울특별시 강서구 화곡로 164,서울특별시 강서구 화곡동 1075,126.839905,37.541245,2022-12-07 00:00:00.0
마곡9단지2동상가,기타시설,FU_BA,서울특별시 강서구 공항대로 103,서울특별시 강서구 마곡동 744,126.82037,37.56136,2022-12-07 00:00:00.0
