candidate_store_id,store_name,store_road_address,recommended_public_facility_program,facility_name,facility_category,facility_road_address,facility_longitude,facility_latitude,distance_m,is_target_category_for_program,source
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,발산파크프라자,기타시설,서울특별시 강서구 공항대로 261,126.83652,37.559162,131.4,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,세민빌딩,기타시설,서울특별시 강서구 강서로 380,126.83887,37.55947,159.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,로고스치과병원,의료,서울특별시 강서구 공항대로 281,126.83885,37.558834,202.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,미소랑치과의원,의료,서울특별시 강서구 공항대로 247,126.83489,37.55935,230.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,심정신건강의학과의원,의료,서울특별시 강서구 마곡중앙6로 66,126.83435,37.55997,260.3,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,NC백화점 강서점,기타시설,서울특별시 강서구 강서로56길 17,126.84035,37.559963,270.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,새벗공원,공원·오픈스페이스,서울특별시 강서구 강서로56나길 37,126.8403,37.560703,271.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,솔레드림,기타시설,서울특별시 강서구 강서로 360,126.83831,37.557674,292.0,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,에스앤유서울병원,의료,서울특별시 강서구 공항대로 237,126.833885,37.559517,309.0,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,강서힘찬병원,의료,서울특별시 강서구 강서로56길 38,126.84065,37.5592,315.2,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,이화여자대학교의과대학부속서울병원,의료,서울특별시 강서구 공항대로 260,126.83613,37.557346,330.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
GS_CONV_0391,이마트24마곡골든점,서울특별시 강서구 마곡중앙6로 89,청년·직장인 생활지원형 공공시설,바른메디내과의원,의료,서울특별시 강서구 공항대로 236,126.83378,37.55851,360.6,False,"서울 열린데이터광장 서울시 시설물 정보, 2023-04-21 갱신"
